Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,77.629997,77.809998,76.629997,76.870003,61.214321,7471000
2013-07-02,77.290001,78.120003,76.959999,77.309998,61.564716,6886300
2013-07-03,76.989998,77.989998,76.919998,77.730003,61.899185,3025600
2013-07-05,77.910004,78.559998,77.400002,78.290001,62.345108,4991500
2013-07-08,78.559998,79.540001,78.540001,79.220001,63.085712,6051200
2013-07-09,79.540001,80.150002,79.330002,79.699997,63.467979,4986400
2013-07-10,79.669998,79.699997,78.610001,79.400002,63.229073,5459400
2013-07-11,80.269997,80.680000,79.580002,79.860001,63.595375,6845700
2013-07-12,79.919998,80.750000,79.919998,80.540001,64.136887,5178300
2013-07-15,80.629997,81.150002,80.169998,80.400002,64.025414,5041400
2013-07-16,80.410004,80.690002,79.839996,80.220001,63.882076,5031500
2013-07-17,80.760002,81.230003,80.389999,80.440002,64.057236,5700200
2013-07-18,80.330002,80.449997,79.959999,80.019997,63.722786,5297800
2013-07-19,79.949997,80.120003,79.419998,79.889999,63.619282,5886200
2013-07-22,79.980003,80.059998,79.250000,80.000000,63.706860,5957900
2013-07-23,80.139999,80.470001,79.860001,80.190002,63.858162,4985800
2013-07-24,80.449997,80.470001,79.580002,80.269997,63.921867,4813300
2013-07-25,80.089996,80.099998,77.889999,78.989998,62.902565,9967600
2013-07-26,78.419998,79.370003,78.250000,78.739998,62.703480,5577600
2013-07-29,78.639999,78.980003,78.370003,78.669998,62.647720,5179000
2013-07-30,79.169998,79.269997,78.519997,78.599998,62.591988,4813400
2013-07-31,78.690002,79.730003,78.690002,79.029999,62.934422,5915000
2013-08-01,79.519997,79.970001,78.610001,78.639999,62.623825,6727400
2013-08-02,78.639999,80.500000,78.500000,80.230003,63.890041,5964400
2013-08-05,79.949997,79.949997,79.370003,79.660004,63.436111,3578500
2013-08-06,79.620003,80.330002,78.739998,80.050003,63.746666,6311100
2013-08-07,79.559998,79.570000,78.599998,78.830002,62.775158,5322200
2013-08-08,79.430000,80.220001,79.089996,80.040001,63.738716,4467900
2013-08-09,79.680000,79.730003,78.529999,78.970001,62.886642,5299300
2013-08-12,78.620003,79.540001,78.580002,79.199997,63.069786,3844400
2013-08-13,79.139999,79.639999,78.080002,79.440002,63.260941,6956400
2013-08-14,79.150002,79.230003,77.180000,77.440002,61.668255,8648100
2013-08-15,76.480003,76.599998,74.860001,75.139999,59.836643,13702000
2013-08-16,75.190002,76.349998,74.930000,75.379997,60.027767,9138200
2013-08-19,75.489998,76.440002,75.180000,75.209999,59.892410,9184100
2013-08-20,77.040001,77.500000,73.650002,74.290001,59.159786,17038100
2013-08-21,74.599998,75.330002,73.430000,73.730003,58.713829,10788400
2013-08-22,73.910004,74.199997,73.349998,74.000000,58.928844,6668700
2013-08-23,74.150002,74.199997,73.110001,73.889999,58.841236,7730800
2013-08-26,73.830002,76.150002,73.820000,75.430000,60.067619,10362900
2013-08-27,74.849998,75.230003,73.949997,74.120003,59.024414,8264200
2013-08-28,74.110001,75.320000,74.010002,75.029999,59.749077,7076000
2013-08-29,74.970001,75.660004,74.800003,75.050003,59.765007,5704200
2013-08-30,75.120003,75.129997,74.180000,74.489998,59.319042,6331300
2013-09-03,74.830002,75.250000,73.680000,73.900002,59.158958,7802800
2013-09-04,73.980003,74.510002,73.739998,74.139999,59.351059,8271600
2013-09-05,74.070000,74.209999,72.839996,72.989998,58.430458,11039000
2013-09-06,73.550003,73.559998,72.209999,72.699997,58.198318,9968400
2013-09-09,72.980003,73.790001,72.900002,73.580002,58.902786,5781800
2013-09-10,73.959999,74.650002,73.739998,74.599998,59.719322,6438700
2013-09-11,74.660004,75.110001,74.160004,75.040001,60.071541,6441500
2013-09-12,75.180000,75.739998,74.970001,75.400002,60.359753,6872200
2013-09-13,75.330002,75.410004,74.839996,75.110001,60.127583,4888400
2013-09-16,76.050003,76.290001,75.199997,75.540001,60.471809,8054400
2013-09-17,75.639999,76.150002,75.570000,75.800003,60.679955,6825600
2013-09-18,75.769997,77.980003,75.349998,77.370003,61.936783,10594300
2013-09-19,77.839996,78.720001,77.639999,78.510002,62.849361,7693700
2013-09-20,78.809998,78.809998,77.000000,77.000000,61.640583,14158300
2013-09-23,76.459999,76.760002,75.769997,75.910004,60.768005,6248800
