Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,87.110001,87.959999,87.110001,87.529999,52.971760,5338100
2013-07-02,87.389999,88.379997,87.050003,87.559998,52.989925,4775900
2013-07-03,87.080002,88.180000,86.800003,87.750000,53.104900,2070400
2013-07-05,88.120003,88.250000,86.580002,87.510002,52.959690,3039500
2013-07-08,88.010002,89.120003,87.779999,88.570000,53.601166,4373500
2013-07-09,89.279999,89.900002,88.930000,89.180000,53.970314,4290500
2013-07-10,89.220001,89.910004,88.220001,88.430000,53.516438,5005700
2013-07-11,89.839996,91.080002,89.660004,90.339996,54.672329,5808600
2013-07-12,90.989998,91.400002,89.040001,89.699997,54.285027,4957000
2013-07-15,89.680000,90.180000,89.209999,89.610001,54.230572,3612400
2013-07-16,89.519997,90.750000,89.309998,89.949997,54.436321,4933700
2013-07-17,90.260002,90.650002,89.709999,89.709999,54.291084,4354200
2013-07-18,88.279999,90.199997,87.650002,89.250000,54.012676,6148200
2013-07-19,89.309998,89.489998,88.449997,88.610001,53.625374,5242400
2013-07-22,89.000000,90.099998,88.570000,89.230003,54.000587,4326700
2013-07-23,89.199997,89.680000,88.580002,88.779999,53.728264,4164800
2013-07-24,88.839996,88.930000,87.889999,88.540001,53.583019,5171600
2013-07-25,88.089996,89.669998,88.089996,89.220001,53.994545,3956400
2013-07-26,88.680000,88.989998,87.720001,88.879997,53.788776,3825700
2013-07-29,88.599998,89.139999,88.349998,88.669998,53.661694,3250200
2013-07-30,89.099998,89.440002,88.669998,89.169998,53.964268,3672200
2013-07-31,89.139999,89.940002,88.830002,89.180000,53.970314,5371200
2013-08-01,89.610001,89.900002,89.370003,89.709999,54.291084,5262700
2013-08-02,89.389999,89.750000,89.110001,89.589996,54.218449,3507000
2013-08-05,89.389999,89.559998,88.709999,89.220001,53.994545,2791100
2013-08-06,89.010002,89.169998,88.559998,88.769997,53.722198,4230000
2013-08-07,88.650002,88.650002,87.879997,88.209999,53.383286,4218900
2013-08-08,88.519997,89.800003,88.410004,89.360001,54.079273,4193400
2013-08-09,89.349998,89.570000,88.430000,88.699997,53.679840,3338200
2013-08-12,88.209999,88.730003,88.000000,88.300003,53.437778,2918500
2013-08-13,88.209999,88.589996,87.580002,88.330002,53.455917,3035900
2013-08-14,88.519997,88.980003,87.809998,88.180000,53.365143,2942200
2013-08-15,87.790001,88.029999,86.949997,87.139999,52.735748,3630400
2013-08-16,86.699997,87.150002,85.599998,85.750000,51.894543,4711100
2013-08-19,85.599998,85.800003,85.059998,85.160004,51.537498,4447100
2013-08-20,85.220001,85.239998,84.180000,84.209999,50.962578,5963200
2013-08-21,84.129997,84.809998,83.669998,83.769997,50.696281,7091700
2013-08-22,83.739998,84.370003,83.739998,84.169998,50.938374,4718800
2013-08-23,84.349998,85.639999,84.269997,85.370003,51.664574,4331400
2013-08-26,85.500000,85.650002,84.410004,84.410004,51.083599,3420100
2013-08-27,83.989998,84.589996,83.529999,84.110001,50.902054,5002600
2013-08-28,83.769997,83.809998,82.900002,82.949997,50.200035,6096300
2013-08-29,83.029999,84.419998,82.860001,83.879997,50.762848,4510700
2013-08-30,83.669998,84.000000,83.150002,83.440002,50.496582,4386000
2013-09-03,83.830002,84.389999,83.160004,83.400002,50.472370,4725500
2013-09-04,83.279999,84.309998,83.199997,83.849998,50.744701,3708000
2013-09-05,83.959999,84.750000,83.690002,84.099998,50.895985,4310700
2013-09-06,84.379997,84.620003,83.559998,84.190002,50.950466,3574500
2013-09-09,84.410004,84.519997,83.730003,84.510002,51.144119,3965200
2013-09-10,84.790001,84.910004,84.040001,84.230003,50.974686,4462500
2013-09-11,84.690002,86.580002,84.610001,86.559998,52.384743,5591800
2013-09-12,86.599998,86.730003,85.980003,86.279999,52.215294,4237800
2013-09-13,86.489998,87.879997,86.489998,87.779999,53.123055,4455700
2013-09-16,88.680000,89.080002,87.730003,87.849998,53.165451,4262900
2013-09-17,87.769997,88.349998,87.720001,88.220001,53.389351,4154100
2013-09-18,88.309998,90.220001,87.830002,89.949997,54.436321,5829800
2013-09-19,90.080002,91.250000,89.889999,90.540001,54.793373,4761800
2013-09-20,90.660004,90.959999,90.360001,90.470001,54.751007,20793500
2013-09-23,90.120003,90.160004,89.260002,89.750000,54.315296,13825500
2013-09-24,88.489998,88.550003,87.269997,87.410004,53.459061,5731000
2013-09-25,87.400002,87.599998,86.559998,86.910004,53.153275,3990000
2013-09-26,87.019997,87.720001,86.769997,87.690002,53.630310,3597600
2013-09-27,87.260002,87.459999,86.720001,87.330002,53.410141,3319400
2013-09-30,86.720001,87.209999,86.279999,86.589996,52.957546,4288500
2013-10-01,86.730003,87.430000,86.519997,87.370003,53.434597,3538600
2013-10-02,86.980003,87.769997,86.570000,87.720001,53.648655,4335900
2013-10-03,87.540001,87.949997,86.800003,87.489998,53.507965,3987700
2013-10-04,87.440002,87.690002,86.739998,87.040001,53.232765,3600100
2013-10-07,86.629997,87.260002,86.470001,86.580002,52.951431,3728500
2013-10-08,86.419998,87.029999,85.900002,85.940002,52.560024,4643400
2013-10-09,86.080002,86.419998,84.160004,84.160004,51.471397,7307300
2013-10-10,84.800003,86.199997,84.800003,86.160004,52.694584,5831400
2013-10-11,86.290001,86.709999,84.709999,85.029999,52.003483,5988600
2013-10-14,84.690002,87.050003,84.660004,86.690002,53.018734,4534500
2013-10-15,86.559998,86.559998,85.400002,85.500000,52.290928,4978700
2013-10-16,85.949997,86.250000,85.400002,86.089996,52.651756,4808700
2013-10-17,85.830002,87.500000,85.790001,86.889999,53.141033,6286300
